chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.5775294,4154.93205007887,1909.5152430227813,6253.044181034483,0.3682257992097701,-160.24377,60.495304,-84.07044,116.13068,-69.424675,66.84324,-46.73533,33.578056,-20.999939,14.681711,-1.6994976,-10.66314,12.337178,-19.833603,18.015245,-19.675804,16.195543,-15.459377,11.172707,-5.8202987,bat
0.5662942,3131.6802774342077,1903.503659368283,5182.8192349137935,0.27733813757183906,-138.78136,104.1037,-90.92535,101.418976,-63.492615,44.64887,-36.68003,25.000093,-22.51153,8.00151,-8.062357,-5.7514577,13.187675,-20.92021,13.641941,-21.238207,15.638424,-10.006804,5.652214,-5.3785405,bat
0.5814868,4241.345885419117,1856.468034032217,6310.589810075431,0.3808481501436782,-161.24527,53.67491,-86.47345,116.9596,-70.55973,68.010895,-44.22057,37.539185,-21.776865,14.06882,-2.202667,-10.747431,15.108024,-22.202578,20.540201,-17.361605,16.531273,-13.632586,9.406657,-6.532433,bat
0.5231095,4369.497989641856,1876.551246134531,6390.163658405172,0.392926095545977,-169.35043,50.612114,-74.830765,116.54531,-71.92694,66.54836,-46.783966,36.70905,-22.204115,12.921235,0.45864475,-12.010971,12.110032,-17.497856,17.258959,-16.22711,18.757486,-15.501394,13.158439,-8.526669,bat
0.50926596,4461.580705306778,1872.5977643729634,6427.908640894397,0.39609150502873564,-167.03719,53.143307,-72.75347,113.95875,-74.93031,68.694496,-46.328842,36.276596,-23.005322,13.015827,-1.0466926,-14.121453,16.175863,-20.683496,19.872355,-17.398037,14.998887,-13.905777,8.465081,-4.9843082,bat
0.5284958,4278.374820701597,1913.630778815618,6339.548255657328,0.3560075431034483,-201.19296,59.103786,-76.419876,110.17851,-70.05867,68.455,-41.127087,37.070786,-21.797583,13.009419,0.8404214,-12.122543,14.917048,-21.553123,18.163424,-18.616835,15.181527,-12.099955,7.431685,-5.5221033,bat
0.48061872,4571.654172641852,1794.1440459867783,6399.568965517241,0.40782147988505746,-173.5454,42.605537,-78.9868,118.618706,-72.793785,72.24227,-46.988808,41.292107,-21.849367,11.304695,1.1025287,-13.115154,15.3604355,-23.04291,19.228508,-19.362669,13.591352,-12.735355,8.228947,-5.343546,bat
0.5475418,4384.400126487223,1823.2176394622438,6268.142174030172,0.3944302262931034,-166.28366,50.381706,-78.48964,118.6405,-75.16607,65.764565,-46.84675,38.68597,-22.766806,9.731051,0.3257573,-12.097397,13.048744,-20.8625,17.73778,-17.09152,14.154391,-14.098045,10.487145,-7.4223275,bat
0.5415102,4382.714729322997,1848.0943666513954,6358.853886045259,0.3834972162356322,-161.45383,44.426926,-75.33974,113.22653,-68.40193,63.77351,-43.351677,35.63694,-22.7864,9.863521,-0.07928279,-10.32258,13.977925,-20.020237,16.7,-18.287485,13.956519,-13.547066,9.119812,-6.205523,bat
0.51242715,4414.614803511266,1800.9198551327843,6288.685344827586,0.38726315553160917,-166.0961,47.46676,-72.46814,116.404686,-75.70736,66.14361,-43.201805,33.97457,-20.752737,11.841074,0.13972734,-10.512244,13.966446,-19.469788,19.429855,-18.18539,14.866288,-14.2423725,9.480193,-5.0744624,bat
0.5517524,4201.949179780964,1943.583716189611,6302.05078125,0.3624674479166667,-177.95898,69.7544,-80.79954,114.171776,-76.543594,70.32592,-47.177235,37.18075,-22.09214,11.673815,0.1201472,-11.27841,14.940436,-19.88979,16.41804,-20.138708,16.260902,-16.313797,10.525268,-6.7197757,bat
0.562146,4320.914336708591,1843.8086543956476,6294.625538793103,0.38336813038793105,-165.84627,55.193226,-81.39706,117.70997,-76.0541,66.94178,-49.35886,36.22289,-19.504976,12.399122,-1.1609104,-11.8987,13.346999,-20.540602,16.991903,-17.65218,17.50654,-14.38872,10.554911,-9.701606,bat
0.32328066,3108.3914511896182,2039.1975025097527,5693.4284078663795,0.21833468031609196,-167.72725,66.39986,-76.43197,85.69616,-10.768378,51.67927,-56.315285,45.619846,1.2227377,-1.3173616,5.043787,6.820366,10.145238,-10.26364,22.197323,-9.100733,16.176502,-6.930368,12.472362,-4.0086,bat
